ts,ratio,dt
1782194400000,2.28,2026-06-23 14:00:00+08:00
1782198000000,2.41,2026-06-23 15:00:00+08:00
1782201600000,2.43,2026-06-23 16:00:00+08:00
1782205200000,2.59,2026-06-23 17:00:00+08:00
1782208800000,2.66,2026-06-23 18:00:00+08:00
1782212400000,2.68,2026-06-23 19:00:00+08:00
1782216000000,2.76,2026-06-23 20:00:00+08:00
1782219600000,2.73,2026-06-23 21:00:00+08:00
1782223200000,2.78,2026-06-23 22:00:00+08:00
1782226800000,2.77,2026-06-23 23:00:00+08:00
1782230400000,2.75,2026-06-24 00:00:00+08:00
1782234000000,2.79,2026-06-24 01:00:00+08:00
1782237600000,2.78,2026-06-24 02:00:00+08:00
1782241200000,2.77,2026-06-24 03:00:00+08:00
1782244800000,2.78,2026-06-24 04:00:00+08:00
1782248400000,2.79,2026-06-24 05:00:00+08:00
1782252000000,2.82,2026-06-24 06:00:00+08:00
1782255600000,2.84,2026-06-24 07:00:00+08:00
1782259200000,2.85,2026-06-24 08:00:00+08:00
1782262800000,2.92,2026-06-24 09:00:00+08:00
1782266400000,2.9,2026-06-24 10:00:00+08:00
1782270000000,2.82,2026-06-24 11:00:00+08:00
1782273600000,2.79,2026-06-24 12:00:00+08:00
1782277200000,2.75,2026-06-24 13:00:00+08:00
1782280800000,2.72,2026-06-24 14:00:00+08:00
1782284400000,2.68,2026-06-24 15:00:00+08:00
1782288000000,2.71,2026-06-24 16:00:00+08:00
1782291600000,2.76,2026-06-24 17:00:00+08:00
1782295200000,2.77,2026-06-24 18:00:00+08:00
1782298800000,2.77,2026-06-24 19:00:00+08:00
1782302400000,2.77,2026-06-24 20:00:00+08:00
1782306000000,2.72,2026-06-24 21:00:00+08:00
1782309600000,2.66,2026-06-24 22:00:00+08:00
1782313200000,2.64,2026-06-24 23:00:00+08:00
1782316800000,2.61,2026-06-25 00:00:00+08:00
1782320400000,2.67,2026-06-25 01:00:00+08:00
1782324000000,2.71,2026-06-25 02:00:00+08:00
1782327600000,2.78,2026-06-25 03:00:00+08:00
1782331200000,2.8,2026-06-25 04:00:00+08:00
1782334800000,2.84,2026-06-25 05:00:00+08:00
1782338400000,2.82,2026-06-25 06:00:00+08:00
1782342000000,2.81,2026-06-25 07:00:00+08:00
1782345600000,2.83,2026-06-25 08:00:00+08:00
1782349200000,2.75,2026-06-25 09:00:00+08:00
1782352800000,2.73,2026-06-25 10:00:00+08:00
1782356400000,2.71,2026-06-25 11:00:00+08:00
1782360000000,2.7,2026-06-25 12:00:00+08:00
1782363600000,2.71,2026-06-25 13:00:00+08:00
1782367200000,2.61,2026-06-25 14:00:00+08:00
1782370800000,2.58,2026-06-25 15:00:00+08:00
1782374400000,2.54,2026-06-25 16:00:00+08:00
1782378000000,2.46,2026-06-25 17:00:00+08:00
1782381600000,2.4,2026-06-25 18:00:00+08:00
1782385200000,2.46,2026-06-25 19:00:00+08:00
1782388800000,2.46,2026-06-25 20:00:00+08:00
1782392400000,2.57,2026-06-25 21:00:00+08:00
1782396000000,2.7,2026-06-25 22:00:00+08:00
1782399600000,2.83,2026-06-25 23:00:00+08:00
1782403200000,2.84,2026-06-26 00:00:00+08:00
1782406800000,2.82,2026-06-26 01:00:00+08:00
1782410400000,2.77,2026-06-26 02:00:00+08:00
1782414000000,2.8,2026-06-26 03:00:00+08:00
1782417600000,2.81,2026-06-26 04:00:00+08:00
1782421200000,2.8,2026-06-26 05:00:00+08:00
1782424800000,2.8,2026-06-26 06:00:00+08:00
1782428400000,2.77,2026-06-26 07:00:00+08:00
1782432000000,2.71,2026-06-26 08:00:00+08:00
1782435600000,2.68,2026-06-26 09:00:00+08:00
1782439200000,2.6,2026-06-26 10:00:00+08:00
1782442800000,2.56,2026-06-26 11:00:00+08:00
1782446400000,2.53,2026-06-26 12:00:00+08:00
